	prediction key	run number	index	Accuracy	Inter-Aspect	Position	CWR	Model	Macro F1	STAC Multi	STAC 1	STAC	Dataset	1-TSSR	1-multi-TSSR	1-target	distinct_sentiment_1	distinct_sentiment_2	distinct_sentiment_3	high-TSSR	high-shot	high-targets	known_sentiment_known_target	low-TSSR	low-shot	low-targets	med-shot	med-targets	unknown_sentiment_known_target	unknown_targets	zero-shot	Data Split	Total Sentences	DS 1 Sentences	DS 2 and 3 Sentences
10	predicted_target_sentiment_AE_GloVe_Embedding_None	2	98	0.5698543880362062	False	Embedding	False	AE	0.40475999659010653	0.10913705583756345	0.43710021321961623	0.287369640787949	Election	0.40625	0.42600702452287814	0.40625	0.42479142261985325	0.39147476497103134	0.3666666666666667	0.39624787450874405	0.3990907352353135	0.3981717182002285	0.4114500491737947	0.3786045894680992	0.39013633093189065	0.3988582835568333	0.4097538978285608	0.41412953013407927	0.19148148148148147	0.3964063072973964	0.3964063072973964	Test	863	469	394
11	predicted_target_sentiment_AE_GloVe_Embedding_None	3	99	0.5651318378591106	False	Embedding	False	AE	0.4195968419490949	0.09644670050761421	0.4520255863539446	0.28968713789107764	Election	0.40125948189494776	0.4331953454750764	0.40125948189494776	0.43218753284978456	0.398179863290047	0.42899822541766275	0.4159926795405781	0.42873579815862795	0.4356538158648339	0.42602955676330484	0.39238337555597447	0.4045678099878642	0.4036763804171391	0.39980213725238034	0.43585515347651266	0.13590391908975977	0.4369712790452944	0.4369712790452944	Test	863	469	394
12	predicted_target_sentiment_AE_GloVe_Embedding_None	4	100	0.572215663124754	False	Embedding	False	AE	0.4453488426061519	0.13959390862944163	0.44776119402985076	0.3070683661645423	Election	0.41375332068311194	0.4600000598304405	0.41375332068311194	0.45669481331032874	0.4267122959125549	0.4599493506821801	0.44512398417572924	0.4468422623065787	0.45252849735917317	0.4579959635301558	0.42466833051842195	0.4528881209908972	0.43830573502318565	0.42759789946779286	0.4516900383272487	0.18778572953244152	0.4296873739496691	0.4296873739496691	Test	863	469	394
13	predicted_target_sentiment_AE_GloVe_Embedding_None	5	101	0.5556867375049194	False	Embedding	False	AE	0.4497494954312901	0.09390862944162437	0.4690831556503198	0.29779837775202783	Election	0.3922388059701492	0.47969251084701	0.3922388059701492	0.47382933358280005	0.41544389569922363	0.47397559452353977	0.44447528312553025	0.4250658468635424	0.4811787439613526	0.45906788878856025	0.4096940342803856	0.45965454524111987	0.44299643842616976	0.46012224256954476	0.43494294616046125	0.28901157886665135	0.424030887342836	0.424030887342836	Test	863	469	394
14	predicted_target_sentiment_AE_GloVe_Embedding_None	6	102	0.5670995670995671	False	Embedding	False	AE	0.4105246724958411	0.1065989847715736	0.43710021321961623	0.2862108922363847	Election	0.36058700209643607	0.4253607349305839	0.36058700209643607	0.42032209491379785	0.39693296670019457	0.41457223475068367	0.4115625190617787	0.4259525478432619	0.42273346212781365	0.41912712444200584	0.3899326138724224	0.39939806781912046	0.4066571029605895	0.39303714390454453	0.4108162283607788	0.17429951690821255	0.40312704071254996	0.40312704071254996	Test	863	469	394
15	predicted_target_sentiment_AE_GloVe_Embedding_None	7	103	0.5690672963400236	False	Embedding	False	AE	0.457263286259368	0.10913705583756345	0.44776119402985076	0.2931633835457706	Election	0.40509026577138024	0.4983780613266097	0.40509026577138024	0.4907962309522584	0.41504998122368675	0.4603824178222607	0.41756003797606267	0.459666431818144	0.4571532636956553	0.46681621793047934	0.4326790457367861	0.43961656658756865	0.4549710468003658	0.45137708378321867	0.4608630911918292	0.15639187574671448	0.4709540226781606	0.4709540226781606	Test	863	469	394
16	predicted_target_sentiment_AE_GloVe_None_None	0	16	0.5663124754033845	False	False	False	AE	0.4633529021306782	0.1218274111675127	0.4541577825159915	0.30243337195828507	Election	0.4627533932663494	0.47587063730865203	0.4627533932663494	0.47509675103250104	0.43693116064091103	0.4902545611182904	0.4282919546822443	0.46474966645882554	0.44641590177768004	0.473076140974223	0.46229487861066804	0.4617226737050721	0.44835816300872255	0.4484916568795992	0.4977979370743559	0.21855313303495963	0.4592813084781439	0.4592813084781439	Test	863	469	394
17	predicted_target_sentiment_AE_GloVe_None_None	1	17	0.5686737504919324	False	False	False	AE	0.45206156401777214	0.12436548223350254	0.4541577825159915	0.30359212050984935	Election	0.3987851261031719	0.47624597024488896	0.3987851261031719	0.4704213232720136	0.4115761549429639	0.5050773638135125	0.41454520150514534	0.4618353427662516	0.43963389650001794	0.46385567493581087	0.44206182434840663	0.46205983232175735	0.44428849646336815	0.42952916238081773	0.47991398973614857	0.22598250424337377	0.42837244003140507	0.42837244003140507	Test	863	469	394
18	predicted_target_sentiment_AE_GloVe_None_None	2	18	0.5470287288469107	False	False	False	AE	0.44085381634834797	0.10406091370558376	0.417910447761194	0.2746234067207416	Election	0.4003410644449843	0.448642673686843	0.4003410644449843	0.44583773800070475	0.41502934639569816	0.4859274450180327	0.39201388888888894	0.45652264026247763	0.4559676114600813	0.4557029282613047	0.45394210547529795	0.43432336465298366	0.42146073272051915	0.42792165606323906	0.45715112239317773	0.19863773166481866	0.41753701805999904	0.41753701805999904	Test	863	469	394
19	predicted_target_sentiment_AE_GloVe_None_None	3	19	0.5690672963400236	False	False	False	AE	0.4187916941805531	0.10152284263959391	0.47761194029850745	0.30590961761297797	Election	0.4083204025015282	0.43075890752175966	0.4083204025015282	0.43115170137239306	0.3963036065103469	0.42703893151463485	0.4044301378722404	0.4070701572878714	0.41407221035477554	0.42749561233022604	0.39889916800045744	0.43784376744159936	0.4070621232620746	0.39218890200708384	0.43752687442007826	0.16615714668812015	0.4154408840421726	0.4154408840421726	Test	863	469	394
