	prediction key	run number	Accuracy	Dataset Size	Inter-Aspect	Position	CWR	Model	Dataset	Split	Reduced Error Split	NT	Subset By
170	predicted_target_sentiment_AE_GloVe_Weighting_None	0	56.52173913043478	23	False	Weighting	False	AE	Laptop	Test	DS	High	DS2
171	predicted_target_sentiment_AE_GloVe_Weighting_None	1	52.17391304347826	23	False	Weighting	False	AE	Laptop	Test	DS	High	DS2
172	predicted_target_sentiment_AE_GloVe_Weighting_None	2	60.86956521739131	23	False	Weighting	False	AE	Laptop	Test	DS	High	DS2
173	predicted_target_sentiment_AE_GloVe_Weighting_None	3	60.86956521739131	23	False	Weighting	False	AE	Laptop	Test	DS	High	DS2
174	predicted_target_sentiment_AE_GloVe_Weighting_None	4	65.21739130434783	23	False	Weighting	False	AE	Laptop	Test	DS	High	DS2
175	predicted_target_sentiment_AE_GloVe_Weighting_None	5	65.21739130434783	23	False	Weighting	False	AE	Laptop	Test	DS	High	DS2
176	predicted_target_sentiment_AE_GloVe_Weighting_None	6	60.86956521739131	23	False	Weighting	False	AE	Laptop	Test	DS	High	DS2
177	predicted_target_sentiment_AE_GloVe_Weighting_None	7	60.86956521739131	23	False	Weighting	False	AE	Laptop	Test	DS	High	DS2
178	predicted_target_sentiment_IAN_GloVe_Weighting_None	0	0.0	0	False	Weighting	False	IAN	Laptop	Test	DS	1	DS2
179	predicted_target_sentiment_IAN_GloVe_Weighting_None	0	52.27272727272727	44	False	Weighting	False	IAN	Laptop	Test	DS	Low	DS2
180	predicted_target_sentiment_IAN_GloVe_Weighting_None	1	45.45454545454545	44	False	Weighting	False	IAN	Laptop	Test	DS	Low	DS2
181	predicted_target_sentiment_IAN_GloVe_Weighting_None	2	52.27272727272727	44	False	Weighting	False	IAN	Laptop	Test	DS	Low	DS2
182	predicted_target_sentiment_IAN_GloVe_Weighting_None	3	50.0	44	False	Weighting	False	IAN	Laptop	Test	DS	Low	DS2
183	predicted_target_sentiment_IAN_GloVe_Weighting_None	4	45.45454545454545	44	False	Weighting	False	IAN	Laptop	Test	DS	Low	DS2
184	predicted_target_sentiment_IAN_GloVe_Weighting_None	5	52.27272727272727	44	False	Weighting	False	IAN	Laptop	Test	DS	Low	DS2
185	predicted_target_sentiment_IAN_GloVe_Weighting_None	6	52.27272727272727	44	False	Weighting	False	IAN	Laptop	Test	DS	Low	DS2
186	predicted_target_sentiment_IAN_GloVe_Weighting_None	7	50.0	44	False	Weighting	False	IAN	Laptop	Test	DS	Low	DS2
187	predicted_target_sentiment_IAN_GloVe_Weighting_None	0	44.44444444444444	27	False	Weighting	False	IAN	Laptop	Test	DS	Med	DS2
188	predicted_target_sentiment_IAN_GloVe_Weighting_None	1	37.03703703703704	27	False	Weighting	False	IAN	Laptop	Test	DS	Med	DS2
189	predicted_target_sentiment_IAN_GloVe_Weighting_None	2	40.74074074074074	27	False	Weighting	False	IAN	Laptop	Test	DS	Med	DS2
190	predicted_target_sentiment_IAN_GloVe_Weighting_None	3	44.44444444444444	27	False	Weighting	False	IAN	Laptop	Test	DS	Med	DS2
191	predicted_target_sentiment_IAN_GloVe_Weighting_None	4	40.74074074074074	27	False	Weighting	False	IAN	Laptop	Test	DS	Med	DS2
